NAME : portgen-200-1007
COMMENT : portgen N=200, seed=1007
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 2598 238
2 2828 797
3 954 944
4 1162 1704
5 1503 741
6 2244 2181
7 2613 1248
8 1153 1537
9 3107 883
10 1196 2313
11 474 3018
12 2787 3093
13 2953 2119
14 2394 2200
15 70 83
16 1994 212
17 507 2831
18 908 153
19 892 1294
20 2952 781
21 1382 2397
22 2473 682
23 589 414
24 887 565
25 237 2290
26 362 3064
27 2429 2809
28 1027 2385
29 2894 3159
30 3052 801
31 52 3031
32 1915 722
33 2522 3010
34 2870 1931
35 659 738
36 650 2541
37 646 2069
38 1950 572
39 588 3141
40 2066 567
41 2388 2397
42 2310 2432
43 30 2126
44 1460 2947
45 309 1060
46 445 2123
47 635 2213
48 131 2004
49 1751 404
50 1894 17
51 2989 909
52 1662 2832
53 3065 1127
54 754 3160
55 2778 2063
56 925 3109
57 2850 1992
58 356 1091
59 2396 2864
60 590 517
61 1259 2466
62 37 641
63 912 2903
64 879 976
65 2166 822
66 2981 591
67 362 2
68 2805 2442
69 2710 318
70 2076 2102
71 2893 1758
72 2357 2954
73 2963 1142
74 2086 3156
75 1300 390
76 1125 774
77 1401 1071
78 199 2398
79 547 1660
80 26 623
81 1580 436
82 1084 676
83 2333 2329
84 751 3059
85 2191 2377
86 2167 2403
87 1563 199
88 2555 484
89 1064 2128
90 442 1677
91 2356 2381
92 949 1543
93 2405 2545
94 2669 2849
95 831 476
96 1690 2813
97 1289 2861
98 3097 490
99 195 2157
100 398 2478
101 77 3121
102 2713 2786
103 1197 1906
104 2988 3020
105 1829 816
106 2891 860
107 829 2713
108 2096 1929
109 2309 1385
110 741 1843
111 2134 1757
112 2660 2875
113 2299 2209
114 2852 1940
115 2165 649
116 659 1206
117 299 2788
118 1948 1495
119 1552 1398
120 2610 475
121 235 1283
122 2108 2150
123 1504 3095
124 153 1576
125 561 888
126 800 1418
127 3155 2911
128 1819 2033
129 2821 3087
130 838 2865
131 354 1589
132 410 1353
133 581 1608
134 1915 1841
135 1209 2163
136 1776 733
137 823 3016
138 1043 716
139 1765 2912
140 1056 266
141 2550 2928
142 1101 2462
143 295 2232
144 796 2108
145 2207 340
146 2742 2873
147 189 446
148 1861 2664
149 459 2255
150 1107 788
151 1330 403
152 519 295
153 1500 1034
154 316 692
155 2616 2749
156 1237 713
157 879 497
158 122 643
159 1400 3127
160 2655 1079
161 1148 2823
162 734 420
163 833 1372
164 213 528
165 1515 9
166 400 1073
167 295 1470
168 2192 1837
169 2048 604
170 2340 2814
171 832 831
172 2616 1127
173 2355 3081
174 2139 2932
175 2776 488
176 2450 3094
177 739 1097
178 388 256
179 108 2212
180 1265 2825
181 2148 2875
182 1514 2964
183 1916 405
184 1260 2915
185 1305 203
186 1666 1630
187 351 2166
188 1791 1216
189 2084 2799
190 32 576
191 1264 1164
192 2426 1853
193 1023 688
194 2721 493
195 2716 1787
196 577 2296
197 2461 2136
198 1147 2365
199 480 449
200 2498 1138
