NAME : portgen-100-1003
COMMENT : portgen N=100, seed=1003
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1367 2453
2 1067 2503
3 292 1723
4 2483 1399
5 2618 2957
6 2538 191
7 819 774
8 2405 1814
9 1110 811
10 714 2386
11 853 380
12 106 1808
13 2010 1458
14 765 808
15 79 3
16 2078 2984
17 1137 114
18 518 1369
19 1306 1713
20 2673 821
21 1857 1975
22 847 989
23 3132 1866
24 719 1322
25 858 1845
26 2947 2146
27 1976 2230
28 31 1545
29 1316 952
30 1985 2085
31 416 770
32 1889 1796
33 1100 562
34 2506 2992
35 805 539
36 1094 2950
37 3115 2032
38 2602 1869
39 1567 1039
40 1777 465
41 141 2975
42 1986 1156
43 2749 1308
44 1095 2503
45 2177 3118
46 2025 1477
47 907 2134
48 2890 2069
49 2023 1978
50 1550 1262
51 299 2843
52 2708 393
53 1704 3135
54 159 819
55 2643 1886
56 449 1976
57 1938 2029
58 60 2102
59 3025 2917
60 2069 2193
61 1701 528
62 1442 2706
63 239 1414
64 242 2721
65 327 2630
66 1709 747
67 1558 3053
68 15 1327
69 1036 3119
70 1096 646
71 1445 1341
72 433 3146
73 1416 1497
74 35 1364
75 1894 1475
76 1827 2464
77 1650 2082
78 2715 2714
79 1284 2818
80 377 376
81 2098 203
82 2885 1996
83 441 2270
84 1543 1955
85 612 1725
86 2067 1661
87 1023 594
88 366 2400
89 2041 2522
90 3153 688
91 129 587
92 2343 3114
93 531 1506
94 1024 2724
95 2611 907
96 2947 2243
97 2506 2533
98 1742 2947
99 318 3002
100 2779 2179
