NAME : portgen-200-1006
COMMENT : portgen N=200, seed=1006
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 2290 2373
2 1597 1224
3 1579 1139
4 2283 2419
5 1782 1295
6 2318 102
7 2165 339
8 3048 816
9 2608 1656
10 1076 750
11 568 777
12 2908 400
13 345 2744
14 1987 271
15 1654 63
16 434 114
17 1455 2942
18 19 1248
19 996 608
20 2882 0
21 710 1501
22 2857 3131
23 1225 1568
24 845 2336
25 1183 2970
26 1008 2044
27 734 2664
28 778 2175
29 918 1817
30 1204 331
31 143 1675
32 2699 1781
33 585 817
34 407 2196
35 2277 1479
36 3133 271
37 472 1269
38 2904 1687
39 42 243
40 2784 1332
41 1826 169
42 2229 1322
43 3082 1921
44 578 2836
45 2357 2365
46 840 1962
47 1493 1403
48 30 438
49 1028 1588
50 226 2700
51 1526 602
52 2714 3013
53 1143 838
54 2977 2575
55 2744 2019
56 1597 1244
57 2622 2001
58 2654 1344
59 181 1296
60 1751 146
61 2951 1981
62 1969 2739
63 3116 2531
64 719 622
65 125 2065
66 1872 630
67 661 764
68 2898 582
69 710 227
70 1831 1738
71 1740 2445
72 1085 2211
73 2577 2021
74 3155 1917
75 1449 662
76 2882 406
77 1463 1324
78 828 895
79 3103 1950
80 114 561
81 128 2750
82 744 1006
83 279 2314
84 158 411
85 2587 632
86 1351 1426
87 3010 1089
88 427 2545
89 518 645
90 1911 2220
91 2590 1932
92 507 2726
93 1936 2285
94 3049 2818
95 485 584
96 423 299
97 802 1198
98 386 313
99 2598 3159
100 1784 31
101 1503 2509
102 6 2391
103 1234 949
104 3062 1899
105 2550 1705
106 1009 285
107 1464 2693
108 138 2992
109 1947 2708
110 619 3128
111 2879 162
112 1789 2555
113 2292 2005
114 1420 618
115 3017 2641
116 2646 1781
117 1258 205
118 1211 2304
119 468 976
120 2588 2107
121 338 340
122 2198 520
123 867 260
124 1672 1409
125 2068 1544
126 2055 1979
127 141 2306
128 548 2884
129 1251 2963
130 1180 2092
131 480 2085
132 2474 443
133 1367 669
134 1249 943
135 1826 3041
136 1319 537
137 639 2238
138 1072 900
139 20 2646
140 2007 2570
141 753 1620
142 2601 924
143 2160 560
144 2470 814
145 2001 541
146 1054 2687
147 2313 2710
148 787 2963
149 2863 3123
150 2610 3130
151 239 2189
152 2565 2661
153 790 435
154 2541 2380
155 145 3151
156 414 436
157 962 638
158 1037 955
159 2934 2927
160 2818 1566
161 968 1289
162 1496 1858
163 2801 2293
164 1134 1141
165 1447 637
166 1521 803
167 2500 2018
168 2156 317
169 657 1962
170 3049 1204
171 788 2706
172 1159 434
173 2735 2928
174 1191 454
175 3071 1656
176 1829 1721
177 1675 1973
178 1608 2598
179 2851 546
180 504 473
181 2940 579
182 2493 2104
183 2362 871
184 2440 528
185 1066 1272
186 2927 2480
187 3018 1162
188 2900 2410
189 2776 2685
190 249 202
191 2604 587
192 637 973
193 859 942
194 1473 396
195 2819 1285
196 1039 129
197 895 1777
198 1440 1471
199 2850 3159
200 696 325
