NAME : portgen-100-1005
COMMENT : portgen N=100, seed=1005
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1982 1345
2 366 1650
3 2205 1334
4 241 3133
5 2060 1849
6 2391 1186
7 1716 2593
8 1779 94
9 2109 2428
10 955 2350
11 663 1699
12 3028 869
13 900 207
14 1579 1504
15 75 43
16 2036 17
17 2403 3054
18 2294 2342
19 1099 3085
20 2813 2382
21 38 604
22 79 2417
23 1860 2722
24 803 944
25 2129 486
26 1655 1024
27 2203 2519
28 529 1965
29 2105 474
30 2519 3025
31 234 319
32 320 2840
33 1811 1786
34 1107 2462
35 732 2220
36 2453 1164
37 299 469
38 695 2802
39 2659 508
40 340 2098
41 1264 1105
42 2148 213
43 2971 1717
44 2859 2725
45 1243 508
46 1235 1800
47 2352 592
48 3092 2036
49 305 2772
50 1722 2221
51 62 294
52 604 31
53 2384 550
54 2038 1990
55 2711 1975
56 2268 2542
57 2394 2011
58 1789 1597
59 1129 2891
60 2911 2937
61 1480 1497
62 739 1674
63 2157 2158
64 560 267
65 1247 145
66 764 669
67 960 1527
68 2992 1884
69 1873 137
70 1586 1374
71 587 3131
72 2976 1468
73 2190 2901
74 1060 678
75 1597 933
76 1476 38
77 1525 1577
78 1457 2556
79 2497 2239
80 202 499
81 1839 1901
82 403 1336
83 1387 2300
84 2729 925
85 2983 2051
86 536 450
87 1293 1978
88 1461 1442
89 3134 2325
90 216 2764
91 2824 1484
92 65 747
93 1468 2025
94 265 2787
95 140 692
96 2318 947
97 316 2697
98 838 137
99 1838 998
100 7 747
