NAME : portgen-200-1010
COMMENT : portgen N=200, seed=1010
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 358 157
2 195 2681
3 2241 360
4 962 2723
5 667 2243
6 2024 2092
7 797 813
8 1796 539
9 1442 1728
10 1558 676
11 190 252
12 2426 1684
13 1288 243
14 453 1663
15 1645 142
16 350 505
17 825 2496
18 409 31
19 582 189
20 3161 3123
21 236 1922
22 1321 2823
23 1845 116
24 1013 1579
25 562 252
26 1587 2963
27 1188 81
28 1774 3016
29 2495 861
30 2271 2210
31 2941 773
32 2725 706
33 2007 102
34 771 1136
35 2130 1679
36 2688 3025
37 1166 1305
38 2252 389
39 2226 2344
40 3073 1435
41 910 2755
42 2554 2598
43 364 2740
44 943 118
45 489 307
46 2422 2608
47 1221 1482
48 434 373
49 756 15
50 571 1455
51 1053 1831
52 1669 2289
53 2504 1994
54 409 1753
55 2879 2196
56 2073 2377
57 371 1964
58 2950 332
59 2715 1243
60 272 1633
61 2509 756
62 565 675
63 626 857
64 1356 2039
65 1963 257
66 3143 473
67 2628 876
68 2525 1696
69 2384 589
70 2810 31
71 25 2862
72 3009 2019
73 960 1666
74 2043 546
75 855 2740
76 2180 1879
77 1214 313
78 1474 579
79 2366 792
80 2926 808
81 2773 2982
82 2105 2848
83 2171 2373
84 2530 1514
85 1003 1284
86 1451 2168
87 387 695
88 2616 629
89 2704 251
90 2363 46
91 1653 564
92 2275 1155
93 647 161
94 1530 2942
95 1868 152
96 2328 869
97 2748 1526
98 1742 1019
99 2475 2314
100 2566 331
101 2124 1791
102 1345 808
103 1086 1615
104 2766 58
105 2828 1313
106 2212 2587
107 2087 2774
108 1642 1904
109 234 579
110 1106 1152
111 3061 216
112 2111 672
113 2322 2822
114 823 2741
115 2771 1000
116 1026 2645
117 585 1050
118 997 2229
119 1640 2664
120 2675 1905
121 3089 950
122 1836 716
123 253 2112
124 1920 2075
125 2366 2082
126 195 2896
127 2705 1565
128 2467 2641
129 1206 295
130 2974 2019
131 3138 102
132 546 923
133 1387 1261
134 750 1371
135 2520 2693
136 3147 1321
137 1375 2186
138 956 165
139 673 546
140 1367 2843
141 1616 528
142 2930 751
143 1025 923
144 2099 2825
145 2825 2899
146 1479 269
147 143 3145
148 1921 1767
149 2738 2813
150 2922 88
151 1438 1373
152 707 2686
153 465 2830
154 3128 1954
155 539 1544
156 542 1543
157 632 74
158 540 2869
159 3121 564
160 2164 2782
161 1686 1100
162 1611 2431
163 1255 1773
164 614 1852
165 1720 1288
166 199 1882
167 6 2986
168 2301 73
169 3058 2855
170 211 1319
171 965 1535
172 660 43
173 1213 378
174 1820 874
175 1889 148
176 1153 885
177 1092 1634
178 3052 2718
179 1367 883
180 385 392
181 2934 273
182 1742 2383
183 578 2169
184 882 588
185 2024 161
186 1048 2246
187 1837 2016
188 1628 800
189 8 3140
190 2541 1699
191 406 2893
192 1467 1328
193 1516 3089
194 139 786
195 2408 131
196 2353 2470
197 831 49
198 271 1881
199 2860 1807
200 1577 412
