NAME : portgen-100-1001
COMMENT : portgen N=100, seed=1001
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 751 398
2 1768 193
3 1543 2112
4 1562 2829
5 12 902
6 2684 2358
7 3084 2119
8 3032 370
9 112 2356
10 473 2423
11 1042 2224
12 347 2747
13 3120 2708
14 3113 112
15 84 3126
16 2120 2789
17 3033 337
18 1904 396
19 1513 340
20 2534 2423
21 513 183
22 1615 2725
23 1240 1010
24 635 1701
25 2750 41
26 1076 105
27 1749 1940
28 2696 1124
29 528 1431
30 1451 1146
31 599 1221
32 294 752
33 389 2501
34 743 359
35 878 2021
36 2898 1574
37 2768 432
38 1346 937
39 475 1570
40 50 1995
41 2180 1682
42 1823 2100
43 2527 898
44 2495 2280
45 3110 2566
46 2816 1153
47 2625 513
48 2687 2102
49 578 1183
50 1378 303
51 535 2228
52 1650 755
53 1023 2557
54 1444 2811
55 2576 1798
56 1792 1410
57 1483 2048
58 1493 2608
59 1758 2944
60 1227 1450
61 1923 2722
62 2144 575
63 1485 669
64 3087 2012
65 2571 1952
66 2655 826
67 2157 1415
68 202 770
69 199 2938
70 607 3081
71 2303 2714
72 1053 1660
73 643 93
74 2172 2050
75 2191 2018
76 2178 1728
77 1774 2588
78 810 2872
79 71 234
80 553 253
81 2357 1668
82 2204 2657
83 2658 2241
84 357 2985
85 1404 1400
86 436 2871
87 752 2372
88 2435 194
89 948 2719
90 2927 1775
91 598 2852
92 1459 2318
93 2758 987
94 1784 2662
95 1920 1123
96 413 377
97 1533 2370
98 2645 2594
99 1961 1843
100 2388 448
