NAME : portgen-100-1007
COMMENT : portgen N=100, seed=1007
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 2598 238
2 2828 797
3 954 944
4 1162 1704
5 1503 741
6 2244 2181
7 2613 1248
8 1153 1537
9 3107 883
10 1196 2313
11 474 3018
12 2787 3093
13 2953 2119
14 2394 2200
15 70 83
16 1994 212
17 507 2831
18 908 153
19 892 1294
20 2952 781
21 1382 2397
22 2473 682
23 589 414
24 887 565
25 237 2290
26 362 3064
27 2429 2809
28 1027 2385
29 2894 3159
30 3052 801
31 52 3031
32 1915 722
33 2522 3010
34 2870 1931
35 659 738
36 650 2541
37 646 2069
38 1950 572
39 588 3141
40 2066 567
41 2388 2397
42 2310 2432
43 30 2126
44 1460 2947
45 309 1060
46 445 2123
47 635 2213
48 131 2004
49 1751 404
50 1894 17
51 2989 909
52 1662 2832
53 3065 1127
54 754 3160
55 2778 2063
56 925 3109
57 2850 1992
58 356 1091
59 2396 2864
60 590 517
61 1259 2466
62 37 641
63 912 2903
64 879 976
65 2166 822
66 2981 591
67 362 2
68 2805 2442
69 2710 318
70 2076 2102
71 2893 1758
72 2357 2954
73 2963 1142
74 2086 3156
75 1300 390
76 1125 774
77 1401 1071
78 199 2398
79 547 1660
80 26 623
81 1580 436
82 1084 676
83 2333 2329
84 751 3059
85 2191 2377
86 2167 2403
87 1563 199
88 2555 484
89 1064 2128
90 442 1677
91 2356 2381
92 949 1543
93 2405 2545
94 2669 2849
95 831 476
96 1690 2813
97 1289 2861
98 3097 490
99 195 2157
100 398 2478
