NAME : portgen-100-1008
COMMENT : portgen N=100, seed=1008
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 2906 1265
2 896 371
3 329 749
4 41 990
5 1224 188
6 2171 1097
7 3062 2157
8 2422 2259
9 443 110
10 1317 713
11 379 2096
12 2667 2624
13 2398 1493
14 2801 967
15 1650 102
16 392 310
17 2721 2719
18 1796 2221
19 789 1980
20 3022 1562
21 2054 130
22 2089 1396
23 3116 2424
24 929 1958
25 2454 1611
26 2879 922
27 961 2954
28 1276 2595
29 1706 1339
30 1738 1271
31 3123 1224
32 1130 2825
33 1296 2041
34 2171 1666
35 2204 3161
36 1329 1648
37 819 2868
38 997 2620
39 1134 2875
40 1347 2965
41 2950 1462
42 2391 378
43 141 2331
44 2342 3059
45 1423 2917
46 50 2285
47 2939 3024
48 232 406
49 2473 2383
50 399 496
51 1289 1216
52 610 2651
53 1824 1416
54 1693 582
55 2812 2108
56 253 1810
57 3078 1983
58 1221 838
59 1448 1269
60 2593 889
61 2730 2950
62 1267 1707
63 1871 112
64 1038 1330
65 1044 2743
66 926 551
67 63 2402
68 2712 1139
69 1547 408
70 2320 2466
71 882 1072
72 465 533
73 187 262
74 1018 1231
75 1152 119
76 2531 1142
77 1338 818
78 2732 737
79 1153 1371
80 3102 685
81 3032 1284
82 1425 345
83 1225 2344
84 1344 2544
85 1795 958
86 2983 216
87 117 2473
88 1521 1587
89 1611 448
90 2137 1133
91 2122 2830
92 1391 359
93 2873 2804
94 2289 2880
95 1176 368
96 2957 2165
97 1775 1362
98 2646 666
99 955 1155
100 2175 1762
