NAME : portgen-100-1009
COMMENT : portgen N=100, seed=1009
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 50 2293
2 2127 3108
3 2867 555
4 2083 275
5 945 2797
6 2098 13
7 348 3067
8 527 2980
9 943 2501
10 1437 2276
11 284 1174
12 2546 2154
13 1843 868
14 46 2896
15 66 122
16 1953 407
17 1773 2608
18 2684 1126
19 685 2666
20 3091 2342
21 2727 1026
22 1705 2110
23 2481 1270
24 971 187
25 1508 931
26 2233 1942
27 2656 3099
28 1525 2806
29 519 2681
30 423 1740
31 3032 2580
32 346 1766
33 70 1071
34 1471 1401
35 585 2420
36 2009 755
37 992 505
38 43 1505
39 1680 2610
40 629 2200
41 348 527
42 2473 1488
43 253 2535
44 61 7
45 2538 1612
46 2817 2447
47 2080 671
48 333 1971
49 33 1199
50 2066 976
51 2752 1524
52 2721 2470
53 583 1705
54 2632 1168
55 2846 2152
56 2744 512
57 143 1974
58 2085 585
59 500 2838
60 1432 1261
61 1038 271
62 2497 2772
63 2830 485
64 1197 1685
65 3085 1500
66 2035 512
67 2927 1639
68 2618 2999
69 384 498
70 2565 2830
71 2035 386
72 1737 1276
73 574 2546
74 3112 2470
75 1004 3011
76 774 1511
77 1276 565
78 2103 2240
79 1760 1081
80 3014 746
81 1321 2133
82 1765 15
83 116 2358
84 1937 2029
85 1399 2702
86 636 1192
87 1834 1584
88 487 2690
89 2158 1931
90 669 590
91 1887 115
92 1833 2339
93 178 3064
94 1910 2911
95 1522 260
96 1061 1517
97 2262 3025
98 2194 842
99 1715 153
100 789 1047
