NAME : portgen-100-1006
COMMENT : portgen N=100, seed=1006
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 2290 2373
2 1597 1224
3 1579 1139
4 2283 2419
5 1782 1295
6 2318 102
7 2165 339
8 3048 816
9 2608 1656
10 1076 750
11 568 777
12 2908 400
13 345 2744
14 1987 271
15 1654 63
16 434 114
17 1455 2942
18 19 1248
19 996 608
20 2882 0
21 710 1501
22 2857 3131
23 1225 1568
24 845 2336
25 1183 2970
26 1008 2044
27 734 2664
28 778 2175
29 918 1817
30 1204 331
31 143 1675
32 2699 1781
33 585 817
34 407 2196
35 2277 1479
36 3133 271
37 472 1269
38 2904 1687
39 42 243
40 2784 1332
41 1826 169
42 2229 1322
43 3082 1921
44 578 2836
45 2357 2365
46 840 1962
47 1493 1403
48 30 438
49 1028 1588
50 226 2700
51 1526 602
52 2714 3013
53 1143 838
54 2977 2575
55 2744 2019
56 1597 1244
57 2622 2001
58 2654 1344
59 181 1296
60 1751 146
61 2951 1981
62 1969 2739
63 3116 2531
64 719 622
65 125 2065
66 1872 630
67 661 764
68 2898 582
69 710 227
70 1831 1738
71 1740 2445
72 1085 2211
73 2577 2021
74 3155 1917
75 1449 662
76 2882 406
77 1463 1324
78 828 895
79 3103 1950
80 114 561
81 128 2750
82 744 1006
83 279 2314
84 158 411
85 2587 632
86 1351 1426
87 3010 1089
88 427 2545
89 518 645
90 1911 2220
91 2590 1932
92 507 2726
93 1936 2285
94 3049 2818
95 485 584
96 423 299
97 802 1198
98 386 313
99 2598 3159
100 1784 31
