NAME : portgen-100-1010
COMMENT : portgen N=100, seed=1010
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 358 157
2 195 2681
3 2241 360
4 962 2723
5 667 2243
6 2024 2092
7 797 813
8 1796 539
9 1442 1728
10 1558 676
11 190 252
12 2426 1684
13 1288 243
14 453 1663
15 1645 142
16 350 505
17 825 2496
18 409 31
19 582 189
20 3161 3123
21 236 1922
22 1321 2823
23 1845 116
24 1013 1579
25 562 252
26 1587 2963
27 1188 81
28 1774 3016
29 2495 861
30 2271 2210
31 2941 773
32 2725 706
33 2007 102
34 771 1136
35 2130 1679
36 2688 3025
37 1166 1305
38 2252 389
39 2226 2344
40 3073 1435
41 910 2755
42 2554 2598
43 364 2740
44 943 118
45 489 307
46 2422 2608
47 1221 1482
48 434 373
49 756 15
50 571 1455
51 1053 1831
52 1669 2289
53 2504 1994
54 409 1753
55 2879 2196
56 2073 2377
57 371 1964
58 2950 332
59 2715 1243
60 272 1633
61 2509 756
62 565 675
63 626 857
64 1356 2039
65 1963 257
66 3143 473
67 2628 876
68 2525 1696
69 2384 589
70 2810 31
71 25 2862
72 3009 2019
73 960 1666
74 2043 546
75 855 2740
76 2180 1879
77 1214 313
78 1474 579
79 2366 792
80 2926 808
81 2773 2982
82 2105 2848
83 2171 2373
84 2530 1514
85 1003 1284
86 1451 2168
87 387 695
88 2616 629
89 2704 251
90 2363 46
91 1653 564
92 2275 1155
93 647 161
94 1530 2942
95 1868 152
96 2328 869
97 2748 1526
98 1742 1019
99 2475 2314
100 2566 331
