NAME : portgen-200-1001
COMMENT : portgen N=200, seed=1001
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 751 398
2 1768 193
3 1543 2112
4 1562 2829
5 12 902
6 2684 2358
7 3084 2119
8 3032 370
9 112 2356
10 473 2423
11 1042 2224
12 347 2747
13 3120 2708
14 3113 112
15 84 3126
16 2120 2789
17 3033 337
18 1904 396
19 1513 340
20 2534 2423
21 513 183
22 1615 2725
23 1240 1010
24 635 1701
25 2750 41
26 1076 105
27 1749 1940
28 2696 1124
29 528 1431
30 1451 1146
31 599 1221
32 294 752
33 389 2501
34 743 359
35 878 2021
36 2898 1574
37 2768 432
38 1346 937
39 475 1570
40 50 1995
41 2180 1682
42 1823 2100
43 2527 898
44 2495 2280
45 3110 2566
46 2816 1153
47 2625 513
48 2687 2102
49 578 1183
50 1378 303
51 535 2228
52 1650 755
53 1023 2557
54 1444 2811
55 2576 1798
56 1792 1410
57 1483 2048
58 1493 2608
59 1758 2944
60 1227 1450
61 1923 2722
62 2144 575
63 1485 669
64 3087 2012
65 2571 1952
66 2655 826
67 2157 1415
68 202 770
69 199 2938
70 607 3081
71 2303 2714
72 1053 1660
73 643 93
74 2172 2050
75 2191 2018
76 2178 1728
77 1774 2588
78 810 2872
79 71 234
80 553 253
81 2357 1668
82 2204 2657
83 2658 2241
84 357 2985
85 1404 1400
86 436 2871
87 752 2372
88 2435 194
89 948 2719
90 2927 1775
91 598 2852
92 1459 2318
93 2758 987
94 1784 2662
95 1920 1123
96 413 377
97 1533 2370
98 2645 2594
99 1961 1843
100 2388 448
101 2308 2616
102 2285 415
103 1419 2488
104 268 2619
105 2993 2986
106 1088 571
107 1476 2592
108 3002 1980
109 134 2997
110 11 63
111 280 1676
112 596 956
113 2255 983
114 585 336
115 952 3109
116 3089 1492
117 2889 3103
118 686 26
119 1376 2030
120 2478 777
121 852 1949
122 2651 1857
123 843 1899
124 2944 577
125 115 1662
126 2008 1624
127 890 2442
128 522 815
129 2889 2344
130 2892 1393
131 1111 1401
132 140 2215
133 2133 2302
134 1083 2782
135 1748 1103
136 2199 2719
137 2882 1512
138 1218 1818
139 786 1317
140 433 1439
141 1256 1403
142 607 2722
143 1997 1688
144 1352 673
145 969 1547
146 2106 1756
147 281 1375
148 1741 1295
149 2229 1138
150 638 2187
151 1113 1627
152 144 1838
153 406 604
154 1016 1331
155 444 1997
156 2626 2216
157 1374 1344
158 2449 2517
159 1119 1927
160 473 838
161 72 3107
162 2143 2724
163 3152 572
164 2575 1044
165 1105 613
166 802 2617
167 872 1599
168 1975 2203
169 29 2426
170 272 2643
171 568 2587
172 200 131
173 1475 2161
174 2776 720
175 1386 1169
176 1882 1185
177 33 25
178 1385 1658
179 754 1707
180 3026 1366
181 575 1753
182 1058 964
183 1428 38
184 2015 1243
185 3031 288
186 2904 399
187 541 2466
188 2118 2049
189 3074 2118
190 1338 1494
191 2981 868
192 1180 2902
193 38 2211
194 1559 3071
195 171 1936
196 187 1948
197 2557 3147
198 2901 169
199 2046 896
200 1176 2588
