NAME : portgen-200-1002
COMMENT : portgen N=200, seed=1002
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1059 1426
2 2999 2930
3 917 1918
4 441 2114
5 2897 348
6 2611 1274
7 370 3028
8 1137 1092
9 611 1583
10 594 823
11 947 1302
12 227 2278
13 2565 2083
14 357 2042
15 1663 3146
16 517 2887
17 2085 225
18 2793 2464
19 1410 1027
20 2604 40
21 1185 1079
22 1231 275
23 604 3020
24 677 3093
25 1804 2524
26 430 1125
27 281 2085
28 2945 1334
29 2503 2773
30 137 1616
31 508 2577
32 2673 2856
33 2326 1531
34 43 94
35 2423 1280
36 414 681
37 2941 1232
38 393 2984
39 1021 1304
40 2495 1230
41 2742 747
42 1905 47
43 2638 1103
44 213 2392
45 1062 1261
46 2421 1315
47 1766 1324
48 2788 504
49 1300 3162
50 3045 782
51 1999 2535
52 597 574
53 2945 2846
54 2383 234
55 2609 1842
56 1121 111
57 1710 2038
58 2358 2355
59 810 1349
60 67 1821
61 231 44
62 211 1640
63 2444 1041
64 83 2367
65 1449 710
66 601 786
67 1858 653
68 109 2630
69 2199 3029
70 851 282
71 292 2027
72 2324 2403
73 1030 2376
74 1103 125
75 2042 1746
76 421 2096
77 1712 2335
78 181 1212
79 677 3107
80 465 314
81 646 2517
82 2545 2327
83 1549 2256
84 950 2470
85 1008 3144
86 1251 684
87 2469 1483
88 1400 1297
89 1494 1039
90 1459 1231
91 364 138
92 1901 1135
93 63 1246
94 1404 2693
95 2266 1015
96 1680 2892
97 2020 870
98 2193 2770
99 2721 841
100 1002 2895
101 881 64
102 1829 811
103 1382 282
104 194 577
105 2272 2097
106 2970 1146
107 841 2612
108 1797 917
109 497 1674
110 133 1941
111 2698 108
112 1467 1276
113 2262 1187
114 2018 1658
115 100 1118
116 1102 917
117 1930 2524
118 1424 2380
119 2460 2452
120 2500 2309
121 749 2892
122 2560 324
123 1480 1571
124 1424 744
125 1770 1006
126 752 1062
127 740 3047
128 1792 3127
129 1297 2468
130 2549 2165
131 985 905
132 1239 3126
133 1348 77
134 1749 516
135 1131 225
136 2655 2915
137 3066 2290
138 1189 1635
139 2530 1582
140 2646 2298
141 3053 2712
142 2271 1097
143 132 197
144 2840 1967
145 1176 1346
146 630 1943
147 1320 2275
148 2816 996
149 2989 270
150 2298 3008
151 2203 3004
152 1260 2635
153 1115 1203
154 1954 2806
155 2914 1595
156 286 2492
157 1292 1203
158 1534 2205
159 2747 2127
160 309 351
161 251 1478
162 1381 1285
163 1184 2814
164 1654 430
165 1174 3148
166 2843 2887
167 1831 1051
168 2011 560
169 1420 1068
170 2725 1090
171 612 713
172 1657 824
173 1094 2314
174 561 34
175 1090 1
176 2504 2558
177 2259 2312
178 165 2479
179 1173 209
180 624 555
181 2946 885
182 80 1824
183 982 2735
184 835 467
185 108 2383
186 1643 2713
187 1036 308
188 1009 856
189 2382 2231
190 1120 1868
191 1640 1445
192 2969 618
193 202 1957
194 2807 6
195 68 2438
196 2888 952
197 960 342
198 2609 1062
199 2840 1349
200 2978 238
