NAME : portgen-100-1002
COMMENT : portgen N=100, seed=1002
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1059 1426
2 2999 2930
3 917 1918
4 441 2114
5 2897 348
6 2611 1274
7 370 3028
8 1137 1092
9 611 1583
10 594 823
11 947 1302
12 227 2278
13 2565 2083
14 357 2042
15 1663 3146
16 517 2887
17 2085 225
18 2793 2464
19 1410 1027
20 2604 40
21 1185 1079
22 1231 275
23 604 3020
24 677 3093
25 1804 2524
26 430 1125
27 281 2085
28 2945 1334
29 2503 2773
30 137 1616
31 508 2577
32 2673 2856
33 2326 1531
34 43 94
35 2423 1280
36 414 681
37 2941 1232
38 393 2984
39 1021 1304
40 2495 1230
41 2742 747
42 1905 47
43 2638 1103
44 213 2392
45 1062 1261
46 2421 1315
47 1766 1324
48 2788 504
49 1300 3162
50 3045 782
51 1999 2535
52 597 574
53 2945 2846
54 2383 234
55 2609 1842
56 1121 111
57 1710 2038
58 2358 2355
59 810 1349
60 67 1821
61 231 44
62 211 1640
63 2444 1041
64 83 2367
65 1449 710
66 601 786
67 1858 653
68 109 2630
69 2199 3029
70 851 282
71 292 2027
72 2324 2403
73 1030 2376
74 1103 125
75 2042 1746
76 421 2096
77 1712 2335
78 181 1212
79 677 3107
80 465 314
81 646 2517
82 2545 2327
83 1549 2256
84 950 2470
85 1008 3144
86 1251 684
87 2469 1483
88 1400 1297
89 1494 1039
90 1459 1231
91 364 138
92 1901 1135
93 63 1246
94 1404 2693
95 2266 1015
96 1680 2892
97 2020 870
98 2193 2770
99 2721 841
100 1002 2895
