NAME : portgen-100-1004
COMMENT : portgen N=100, seed=1004
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1674 318
2 2298 2077
3 2830 1528
4 1362 685
5 2339 2403
6 2464 2270
7 1267 1683
8 511 2535
9 1609 38
10 835 787
11 758 2621
12 3149 1339
13 1455 832
14 1172 2738
15 1659 23
16 476 3082
17 188 2
18 1406 274
19 1203 2399
20 2743 1602
21 2529 2871
22 463 1703
23 2496 712
24 761 2714
25 3075 1166
26 2301 3
27 508 2375
28 280 1755
29 129 2295
30 670 2555
31 325 2126
32 1104 737
33 3037 2755
34 1807 2727
35 2350 2961
36 1774 2057
37 125 2832
38 1648 754
39 2113 774
40 1058 2863
41 703 2040
42 2067 2266
43 2860 1512
44 1977 2614
45 128 1813
46 1630 1638
47 48 2945
48 2991 471
49 2746 794
50 54 1741
51 1762 3150
52 1656 212
53 463 261
54 1099 1404
55 2677 1931
56 2940 678
57 2166 2020
58 924 1849
59 2077 1322
60 909 2565
61 9 1013
62 2672 608
63 1198 1786
64 401 3076
65 2369 1387
66 2818 708
67 1259 2290
68 3085 24
69 3036 46
70 1341 1010
71 2598 654
72 1705 726
73 1803 617
74 2129 2603
75 1746 1204
76 70 2832
77 1587 1829
78 2086 1054
79 1890 2528
80 290 438
81 387 1052
82 63 1666
83 2495 2285
84 2136 1440
85 216 307
86 2883 2637
87 2739 2867
88 2495 339
89 2588 842
90 1685 144
91 3058 1035
92 2786 1930
93 1000 1766
94 645 2756
95 2957 799
96 1051 1595
97 2993 1034
98 1290 3123
99 1078 2000
100 1393 1463
