NAME : portgen-200-1003
COMMENT : portgen N=200, seed=1003
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1367 2453
2 1067 2503
3 292 1723
4 2483 1399
5 2618 2957
6 2538 191
7 819 774
8 2405 1814
9 1110 811
10 714 2386
11 853 380
12 106 1808
13 2010 1458
14 765 808
15 79 3
16 2078 2984
17 1137 114
18 518 1369
19 1306 1713
20 2673 821
21 1857 1975
22 847 989
23 3132 1866
24 719 1322
25 858 1845
26 2947 2146
27 1976 2230
28 31 1545
29 1316 952
30 1985 2085
31 416 770
32 1889 1796
33 1100 562
34 2506 2992
35 805 539
36 1094 2950
37 3115 2032
38 2602 1869
39 1567 1039
40 1777 465
41 141 2975
42 1986 1156
43 2749 1308
44 1095 2503
45 2177 3118
46 2025 1477
47 907 2134
48 2890 2069
49 2023 1978
50 1550 1262
51 299 2843
52 2708 393
53 1704 3135
54 159 819
55 2643 1886
56 449 1976
57 1938 2029
58 60 2102
59 3025 2917
60 2069 2193
61 1701 528
62 1442 2706
63 239 1414
64 242 2721
65 327 2630
66 1709 747
67 1558 3053
68 15 1327
69 1036 3119
70 1096 646
71 1445 1341
72 433 3146
73 1416 1497
74 35 1364
75 1894 1475
76 1827 2464
77 1650 2082
78 2715 2714
79 1284 2818
80 377 376
81 2098 203
82 2885 1996
83 441 2270
84 1543 1955
85 612 1725
86 2067 1661
87 1023 594
88 366 2400
89 2041 2522
90 3153 688
91 129 587
92 2343 3114
93 531 1506
94 1024 2724
95 2611 907
96 2947 2243
97 2506 2533
98 1742 2947
99 318 3002
100 2779 2179
101 2618 675
102 1373 1206
103 1345 1239
104 120 1698
105 1550 1209
106 1689 1722
107 206 2632
108 591 3017
109 859 351
110 254 657
111 1952 1703
112 2338 1596
113 2270 1391
114 287 2979
115 2411 2289
116 2279 342
117 971 1944
118 2161 1570
119 380 2874
120 2522 677
121 646 673
122 2470 1954
123 2118 1243
124 3068 910
125 263 350
126 2660 501
127 591 490
128 3063 2275
129 2867 2592
130 2207 2938
131 859 409
132 2339 873
133 562 1016
134 2415 1414
135 514 2510
136 3112 3112
137 87 3067
138 1159 1451
139 1112 1848
140 1695 3157
141 1687 857
142 772 2636
143 1430 1869
144 1166 97
145 1382 1145
146 2318 2129
147 2359 11
148 727 697
149 585 2565
150 794 666
151 131 1219
152 2377 269
153 1825 1802
154 2891 1118
155 2222 1193
156 1109 2769
157 1209 1062
158 619 1893
159 1213 2327
160 146 3027
161 431 3013
162 619 3010
163 2379 1893
164 734 2980
165 1242 2520
166 1722 3157
167 2789 502
168 2047 2081
169 2810 2873
170 2016 2700
171 656 2002
172 3114 1517
173 714 2468
174 1509 2511
175 795 1997
176 3126 767
177 1322 1437
178 2107 136
179 1593 1875
180 1385 2907
181 2154 18
182 2265 2685
183 536 2269
184 2818 2855
185 347 1314
186 383 1864
187 1532 1312
188 3063 2826
189 1690 2345
190 903 2242
191 300 2021
192 1595 1498
193 366 1703
194 892 103
195 3128 2941
196 2426 3118
197 2525 701
198 2317 1955
199 470 1802
200 1617 1050
