NAME : portgen-200-1009
COMMENT : portgen N=200, seed=1009
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 50 2293
2 2127 3108
3 2867 555
4 2083 275
5 945 2797
6 2098 13
7 348 3067
8 527 2980
9 943 2501
10 1437 2276
11 284 1174
12 2546 2154
13 1843 868
14 46 2896
15 66 122
16 1953 407
17 1773 2608
18 2684 1126
19 685 2666
20 3091 2342
21 2727 1026
22 1705 2110
23 2481 1270
24 971 187
25 1508 931
26 2233 1942
27 2656 3099
28 1525 2806
29 519 2681
30 423 1740
31 3032 2580
32 346 1766
33 70 1071
34 1471 1401
35 585 2420
36 2009 755
37 992 505
38 43 1505
39 1680 2610
40 629 2200
41 348 527
42 2473 1488
43 253 2535
44 61 7
45 2538 1612
46 2817 2447
47 2080 671
48 333 1971
49 33 1199
50 2066 976
51 2752 1524
52 2721 2470
53 583 1705
54 2632 1168
55 2846 2152
56 2744 512
57 143 1974
58 2085 585
59 500 2838
60 1432 1261
61 1038 271
62 2497 2772
63 2830 485
64 1197 1685
65 3085 1500
66 2035 512
67 2927 1639
68 2618 2999
69 384 498
70 2565 2830
71 2035 386
72 1737 1276
73 574 2546
74 3112 2470
75 1004 3011
76 774 1511
77 1276 565
78 2103 2240
79 1760 1081
80 3014 746
81 1321 2133
82 1765 15
83 116 2358
84 1937 2029
85 1399 2702
86 636 1192
87 1834 1584
88 487 2690
89 2158 1931
90 669 590
91 1887 115
92 1833 2339
93 178 3064
94 1910 2911
95 1522 260
96 1061 1517
97 2262 3025
98 2194 842
99 1715 153
100 789 1047
101 387 1180
102 1801 413
103 1123 658
104 2840 2100
105 387 2202
106 330 2011
107 2722 2754
108 2848 2967
109 3034 1902
110 984 2437
111 643 1784
112 1240 352
113 2314 2618
114 2554 1420
115 460 2992
116 3012 57
117 1544 1629
118 260 3039
119 556 2242
120 2653 374
121 29 7
122 1927 2248
123 2779 2439
124 276 1909
125 710 2738
126 1451 294
127 2855 959
128 1197 330
129 2798 171
130 153 1247
131 101 598
132 2609 12
133 2172 322
134 84 473
135 3137 408
136 2690 1125
137 1191 1408
138 985 348
139 2092 280
140 2318 1984
141 2982 2382
142 1266 2376
143 2890 2414
144 610 1532
145 2619 3100
146 2954 83
147 2267 2245
148 847 2066
149 1978 518
150 1263 2430
151 347 3159
152 2753 1889
153 2919 2231
154 2191 479
155 1232 1945
156 2882 1266
157 714 215
158 1455 18
159 1493 364
160 2328 106
161 1506 2729
162 2373 706
163 60 2694
164 1535 2465
165 1652 1916
166 1320 1612
167 2211 372
168 2265 1715
169 1667 1050
170 920 2872
171 921 246
172 2366 2513
173 1593 225
174 872 1560
175 2185 1316
176 531 2676
177 2028 2509
178 1110 1897
179 947 2380
180 2787 1203
181 564 1140
182 2721 1523
183 1024 2635
184 2062 1364
185 1784 1230
186 2308 3095
187 1342 1012
188 2737 1993
189 700 3026
190 2759 1325
191 1746 2317
192 2841 449
193 1352 180
194 2054 688
195 2510 2792
196 2815 303
197 2428 2853
198 563 988
199 2067 1354
200 2939 2763
